State,Abbr,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Metro_Counties,Non_Metro_Counties,Literacy_Rate,Total_Cases,Active_Cases,Total_Deaths,Total_Tests,Tests_Per_Million,Population,Pfizer_Administered,Moderna_Administered,JohnsonJohnson_Administered,Unknown_Administered
Alabama,AL,53.5,43.6,35.1,29,38,85.2,1298843,44811,19510,7528788,1535489,4903185,3344697,2716761,177591,542
Alaska,AK,69.7,63.9,47.2,3,25,90.8,241959,5247,1202,4107614,5614985,731545,648883,437177,46568,1139
Arizona,AZ,73.8,63.9,41.1,8,7,86.9,2016797,21718,29823,19077981,2621064,7278717,6895102,4706213,368939,30213
Arkansas,AR,54.1,45.7,38.7,20,55,86.3,834256,1242,11354,6805431,2255094,3017804,2274755,1788655,122805,4124
California,CA,72.4,63.9,48.5,37,13,76.9,9156797,147405,89796,158191727,4003615,39512223,44231686,27708427,2314928,15897
Colorado,CO,62,56.6,51.6,17,47,90.1,1368070,47621,13131,17254656,2996258,5758736,6148041,4097095,340899,10292
Connecticut,CT,87.7,75.2,52.5,7,1,91.4,747612,16797,10813,15534710,4357212,3565287,4432135,2853022,249346,1258
Delaware,DE,76.2,63.9,44.8,3,0,89.3,260476,3181,2894,1018303,1045739,973764,1036297,687392,62048,2248
Florida,FL,63.5,54.1,38.4,44,23,80.3,5929190,51423,73738,56474720,2629454,21477737,21791136,13731311,1476603,139996
Georgia,GA,49.2,42.9,35.4,74,85,83.3,2506634,16693,37523,24589446,2315952,10617423,8634035,5731356,340471,40301
Hawaii,HI,49.2,42.9,35.4,74,85,84.1,243299,4535,1390,3646182,2575220,1415872,1758729,1049456,71010,297
Idaho,ID,53.4,47.1,40.4,12,32,89.5,445040,3102,4913,2881522,1612433,1787065,1422616,917344,87919,3628
Illinois,IL,58.9,53.6,48.8,40,62,87.1,3100240,50432,37823,57898053,4569040,12671821,13761480,7931759,679878,30483
Indiana,IN,53.8,48.7,44.7,44,48,92,1694955,104088,23523,19532455,2901340,6732219,5713711,3403611,304967,31119
Iowa,IA,59,54.6,53.5,21,78,92.5,856086,5635,9475,8492575,2691723,3155070,2862261,2007854,178434,559
Kansas,KS,54.3,48.2,45.1,19,86,92.2,772222,3443,8524,2269976,779173,2913314,2687162,1731304,138065,4417
Kentucky,KY,54.3,48.2,43.1,35,85,87.8,1322124,28632,15274,13675281,3060940,4467673,3580808,2657979,236133,2743
Louisiana,LA,53.1,46.7,37.6,35,29,84,1235193,3176,17197,15280290,3286936,4648794,3469413,2530973,198824,3108
Maine,ME,81,72.8,56.4,5,11,92.6,240086,6549,2276,5047434,3754939,1344212,1508372,1139266,143525,3532
Maryland,MD,75.4,67.1,50.6,19,5,88.8,1020351,11812,14401,19927822,3296209,6045680,7224816,4312316,365204,17680
Massachusetts,MA,85.2,69.7,53.2,10,1,90.1,1724369,22969,20176,43134001,6258104,6892503,8521239,5741572,403355,448
Michigan,MI,57.8,55.3,54.2,22,55,91.7,2400990,22551,35857,24495162,2452740,9986857,9077191,6184120,465167,2188
Minnesota,MN,62.2,57.9,55.5,27,60,94,1438566,5380,12718,19479012,3453951,5639632,6141747,3694208,356331,4851
Mississippi,MS,56.2,49.1,36.8,17,65,84,796496,3023,12424,6248979,2099686,2976149,2202033,1540046,93047,3002
Missouri,MO,46.8,40.4,41.8,34,81,92.5,1417911,17696,20241,14632189,2384091,6137428,5405358,3202222,251183,2329
Montana,MT,52.7,47.5,48.4,5,51,91.2,273204,452,3260,2756528,2579140,1068778,847089,660237,60896,2198
