State,Date,Deaths,Cases,DeathsPerMonth,CasesPerMonth
US,1/1/2020,1,8,1,8
US,1/2/2020,2,26,1,18
US,1/3/2020,5345,191361,5343,191335
US,1/4/2020,65925,1071885,60580,880524
US,1/5/2020,107201,1779090,41276,707205
US,1/6/2020,126821,2634322,19620,855232
US,1/7/2020,153299,4531005,26478,1896683
US,1/8/2020,182115,6027268,28816,1496263
US,1/9/2020,205211,7221955,23096,1194687
US,1/10/2020,229438,9135110,24227,1913155
US,1/11/2020,268430,13598940,38992,4463830
US,1/12/2020,349024,20154265,80594,6555325
US,1/1/2021,445218,26292628,96194,6138363
US,1/2/2021,510432,28698177,65214,2405549
US,1/3/2021,547077,30509546,36645,1811369
US,1/4/2021,570782,32395138,23705,1885592
US,1/5/2021,588935,33318025,18153,922887
US,1/6/2021,599398,33717719,10463,399694
US,1/7/2021,608135,35040485,8737,1322766
US,1/8/2021,636103,39316103,27968,4275618
US,1/9/2021,694865,43449052,58762,4132949
US,1/10/2021,742416,45951841,47551,2502789
US,1/11/2021,776764,48495743,34348,2543902
US,1/12/2021,822793,54716766,46029,6221023
US,1/1/2022,885095,74930547,62302,20213781
US,1/2/2022,946398,78864479,61303,3933932
US,1/3/2022,979191,79909892,32793,1045413
US,1/4/2022,991886,81139532,12695,1229640
Alaska,1/1/2020,0,0,0,0
Alaska,1/2/2020,0,0,0,0
Alaska,1/3/2020,3,129,3,129
Alaska,1/4/2020,9,360,6,231
Alaska,1/5/2020,10,484,1,124
Alaska,1/6/2020,14,1142,4,658
Alaska,1/7/2020,23,3716,9,2574
Alaska,1/8/2020,37,6172,14,2456
Alaska,1/9/2020,56,8846,19,2674
Alaska,1/10/2020,82,16365,26,7519
Alaska,1/11/2020,122,32598,40,16233
Alaska,1/12/2020,206,47014,84,14416
Alaska,1/1/2021,262,54350,56,7336
Alaska,1/2/2021,290,58296,28,3946
Alaska,1/3/2021,313,62901,23,4605
Alaska,1/4/2021,347,68148,34,5247
Alaska,1/5/2021,369,70208,22,2060
Alaska,1/6/2021,377,71275,8,1067
Alaska,1/7/2021,389,75486,12,4211
Alaska,1/8/2021,444,88547,55,13061
Alaska,1/9/2021,577,114665,133,26118
Alaska,1/10/2021,725,137887,148,23222
Alaska,1/11/2021,880,150996,155,13109
Alaska,1/12/2021,978,157169,98,6173
Alaska,1/1/2022,1085,216939,107,59770
Alaska,1/2/2022,1163,239494,78,22555
Alaska,1/3/2022,1228,247211,65,7717
Alaska,1/4/2022,1252,253002,24,5791
Alabama,1/1/2020,0,0,0,0
Alabama,1/2/2020,0,0,0,0
Alabama,1/3/2020,23,1063,23,1063
Alabama,1/4/2020,272,7187,249,6124
Alabama,1/5/2020,630,18200,358,11013
Alabama,1/6/2020,950,38477,320,20277
Alabama,1/7/2020,1580,88266,630,49789
Alabama,1/8/2020,2182,126500,602,38234
Alabama,1/9/2020,2540,154772,358,28272
Alabama,1/10/2020,2967,193613,427,38841
Alabama,1/11/2020,3578,249524,611,55911
Alabama,1/12/2020,4827,361226,1249,111702
Alabama,1/1/2021,7688,459639,2861,98413
Alabama,1/2/2021,9929,493252,2241,33613
Alabama,1/3/2021,10554,515388,625,22136
Alabama,1/4/2021,10896,527922,342,12534
Alabama,1/5/2021,11146,543405,250,15483
Alabama,1/6/2021,11352,550983,206,7578
Alabama,1/7/2021,11536,585607,184,34624
Alabama,1/8/2021,12283,699729,747,114122
Alabama,1/9/2021,14299,796475,2016,96746
Alabama,1/10/2021,15573,832047,1274,35572
Alabama,1/11/2021,16119,845761,546,13714
Alabama,1/12/2021,16455,896614,336,50853
Alabama,1/1/2022,17086,1218257,631,321643
Alabama,1/2/2022,18225,1279565,1139,61308
Alabama,1/3/2022,19290,1295327,1065,15762
Alabama,1/4/2022,19567,1300733,277,5406
Arkansas,1/1/2020,0,0,0,0
Arkansas,1/2/2020,0,0,0,0
Arkansas,1/3/2020,8,523,8,523
Arkansas,1/4/2020,61,3281,53,2758
Arkansas,1/5/2020,133,7253,72,3972
Arkansas,1/6/2020,270,20777,137,13524
Arkansas,1/7/2020,453,42511,183,21734
Arkansas,1/8/2020,797,61224,344,18713
Arkansas,1/9/2020,1369,83697,572,22473
Arkansas,1/10/2020,1925,112190,556,28493
Arkansas,1/11/2020,2502,157359,577,45169
Arkansas,1/12/2020,3676,225138,1174,67779
Arkansas,1/1/2021,4868,295268,1192,70130
Arkansas,1/2/2021,5243,322415,375,27147
Arkansas,1/3/2021,5626,330398,383,7983
Arkansas,1/4/2021,5739,335725,113,5327
Arkansas,1/5/2021,5833,341381,94,5656
Arkansas,1/6/2021,5909,349385,76,8004
Arkansas,1/7/2021,6141,386452,232,37067
Arkansas,1/8/2021,6934,452891,793,66439
Arkansas,1/9/2021,7691,496077,757,43186
Arkansas,1/10/2021,8376,513215,685,17138
Arkansas,1/11/2021,8667,528838,291,15623
Arkansas,1/12/2021,9148,566486,481,37648
Arkansas,1/1/2022,9628,776759,480,210273
Arkansas,1/2/2022,10524,819984,896,43225
Arkansas,1/3/2022,11230,832922,706,12938
Arkansas,1/4/2022,11389,835857,159,2935
Arizona,1/1/2020,0,1,0,1
Arizona,1/2/2020,0,1,0,0
Arizona,1/3/2020,25,1289,25,1288
Arizona,1/4/2020,320,7655,295,6366
Arizona,1/5/2020,907,19936,587,12281
Arizona,1/6/2020,1645,79228,738,59292
Arizona,1/7/2020,3694,174010,2049,94782
Arizona,1/8/2020,5029,201835,1335,27825
Arizona,1/9/2020,5650,218507,621,16672
Arizona,1/10/2020,5979,245946,329,27439
Arizona,1/11/2020,6639,326817,660,80871
Arizona,1/12/2020,8864,520207,2225,193390
Arizona,1/1/2021,13120,758404,4256,238197
Arizona,1/2/2021,15980,816782,2860,58378
Arizona,1/3/2021,16967,841811,987,25029
Arizona,1/4/2021,17324,862497,357,20686
Arizona,1/5/2021,17628,881450,304,18953
Arizona,1/6/2021,17936,894875,308,13425
Arizona,1/7/2021,18246,927235,310,32360
Arizona,1/8/2021,18786,1011923,540,84688
Arizona,1/9/2021,19984,1093583,1198,81660
Arizona,1/10/2021,21154,1168900,1170,75317
Arizona,1/11/2021,22307,1269780,1153,100880
Arizona,1/12/2021,24229,1381488,1922,111708
Arizona,1/1/2022,26205,1870644,1976,489156
Arizona,1/2/2022,27946,1976890,1741,106246
Arizona,1/3/2022,29268,2007180,1322,30290
Arizona,1/4/2022,29951,2021524,683,14344
California,1/1/2020,0,3,0,3
California,1/2/2020,0,13,0,10
California,1/3/2020,170,8011,170,7998
California,1/4/2020,2001,50715,1831,42704
California,1/5/2020,4113,113870,2112,63155
California,1/6/2020,5988,240811,1875,126941
California,1/7/2020,9122,506938,3134,266127
California,1/8/2020,12856,713651,3734,206713
California,1/9/2020,15774,821491,2918,107840
California,1/10/2020,17631,940300,1857,118809
California,1/11/2020,19233,1259298,1602,318998
California,1/12/2020,25848,2385346,6615,1126048
California,1/1/2021,40371,3384794,14523,999448
California,1/2/2021,52154,3627787,11783,242993
California,1/3/2021,58370,3728478,6216,100691
California,1/4/2021,60876,3805309,2506,76831
California,1/5/2021,62132,3854806,1256,49497
California,1/6/2021,63137,3884312,1005,29506
California,1/7/2021,63984,4032171,847,147859
California,1/8/2021,65502,4469226,1518,437055
California,1/9/2021,68927,4743464,3425,274238
California,1/10/2021,71900,4924649,2973,181185
California,1/11/2021,74439,5083021,2539,158372
California,1/12/2021,76478,5519640,2039,436619
California,1/1/2022,80023,8442893,3545,2923253
California,1/2/2022,85418,8984886,5395,541993
California,1/3/2022,88844,9109128,3426,124242
California,1/4/2022,90213,9236212,1369,127084
Colorado,1/1/2020,0,0,0,0
Colorado,1/2/2020,0,0,0,0
Colorado,1/3/2020,69,2966,69,2966
Colorado,1/4/2020,777,15284,708,12318
Colorado,1/5/2020,1445,26378,668,11094
Colorado,1/6/2020,1690,32715,245,6337
Colorado,1/7/2020,1838,46809,148,14094
Colorado,1/8/2020,1945,57424,107,10615
Colorado,1/9/2020,2051,70536,106,13112
Colorado,1/10/2020,2285,107350,234,36814
Colorado,1/11/2020,3037,232905,752,125555
Colorado,1/12/2020,4814,334097,1777,101192
Colorado,1/1/2021,5640,396185,826,62088
Colorado,1/2/2021,5951,428303,311,32118
Colorado,1/3/2021,6107,462081,156,33778
Colorado,1/4/2021,6295,510966,188,48885
Colorado,1/5/2021,6580,543174,285,32208
Colorado,1/6/2021,6794,557791,214,14617
Colorado,1/7/2021,6945,575082,151,17291
Colorado,1/8/2021,7142,615878,197,40796
Colorado,1/9/2021,7543,671363,401,55485
Colorado,1/10/2021,8186,740461,643,69098
Colorado,1/11/2021,9193,829437,1007,88976
Colorado,1/12/2021,10271,929275,1078,99838
Colorado,1/1/2022,11115,1253042,844,323767
Colorado,1/2/2022,11772,1313779,657,60737
Colorado,1/3/2022,11974,1346626,202,32847
Colorado,1/4/2022,12150,1383024,176,36398
Connecticut,1/1/2020,0,0,0,0
Connecticut,1/2/2020,0,0,0,0
Connecticut,1/3/2020,69,3128,69,3128
Connecticut,1/4/2020,2257,27700,2188,24572
Connecticut,1/5/2020,3944,42201,1687,14501
Connecticut,1/6/2020,4322,46514,378,4313
Connecticut,1/7/2020,4432,49810,110,3296
Connecticut,1/8/2020,4465,52879,33,3069
Connecticut,1/9/2020,4508,57550,43,4671
Connecticut,1/10/2020,4616,71207,108,13657
Connecticut,1/11/2020,5020,117295,404,46088
